Country,Price (2020),Price (2021),Price (2022),Cheap,Expensive
Israel,0.9,0.11,0.05,0.02,20.95
Kyrgyzstan,0.27,0.21,0.15,0.1,7.08
Fiji,3.57,0.59,0.19,0.05,0.85
Italy,1.73,0.43,0.27,0.09,3.54
Sudan,0.68,0.63,0.27,0.03,0.92
Russian Federation,0.91,0.52,0.29,0.13,1.86
Moldova,2.82,1.12,0.32,0.07,2.79
Bangladesh,0.99,0.7,0.34,0.11,2.22
Sri Lanka,0.78,0.51,0.38,0.0,5.53
Chile,1.87,0.71,0.39,0.24,1.83
France,1.21,0.81,0.41,0.09,118.2
Indonesia,2.99,0.64,0.42,0.17,2.94
Belarus,2.36,0.89,0.43,0.02,16.62
San Marino,6.86,1.16,0.43,0.24,0.63
Vietnam,1.31,0.57,0.49,0.07,5.55
Algeria,5.15,0.65,0.51,0.16,2.24
China,9.89,0.61,0.52,0.3,1.21
Samoa,30.09,10.86,0.56,0.19,6.86
Pakistan,1.85,0.69,0.59,0.06,8.59
Kazakhstan,0.49,0.46,0.59,0.25,2.35
Uzbekistan,3.27,1.34,0.6,0.01,23.75
Somalia,6.19,0.5,0.6,0.18,6.67
Mongolia,0.82,0.74,0.6,0.22,3.7
Nepal,2.25,0.86,0.61,0.22,2.66
Turkey,2.25,0.72,0.63,0.05,2.26
Poland,1.32,0.7,0.64,0.03,23.02
Ghana,1.56,0.94,0.66,0.17,3.47
India,0.26,0.09,0.68,0.05,2.73
Australia,2.47,0.68,0.7,0.1,7.62
Libya,4.87,4.73,0.74,0.0,2.22
Ukraine,5.93,0.46,0.75,0.14,35.88
Tanzania,3.71,0.73,0.75,0.28,4.31
Mauritius,0.51,2.48,0.75,0.04,6.49
Réunion,1.65,0.72,0.76,0.24,118.2
Armenia,2.51,1.05,0.76,0.22,13.02
Myanmar,0.87,0.78,0.78,0.0,14.15
Denmark,1.36,0.8,0.79,0.0,2.23
Kuwait,2.01,0.77,0.81,0.01,6.29
Mayotte,2.22,1.08,0.82,0.25,6.8
Cambodia,10.18,1.5,0.83,0.1,2.0
Bhutan,1.49,1.16,0.83,0.33,1.06
Haiti,1.25,2.74,0.85,0.27,1.9
Nigeria,7.91,1.39,0.88,0.03,5.25
Western Sahara,1.18,0.99,0.88,0.44,5.5
Morocco,1.66,0.99,0.88,0.44,5.5
Malaysia,1.66,1.12,0.89,0.12,7.26
Guadeloupe,6.06,2.42,0.89,0.49,3.55
Cameroon,1.71,2.75,0.9,0.6,7.22
Brazil,3.5,1.01,0.92,0.18,2.72
Senegal,3.28,3.3,0.94,0.3,6.02
Nicaragua,65.83,1.71,0.94,0.02,2.82
Macedonia,3.62,1.75,0.96,0.48,9.6
Finland,1.16,2.14,0.97,0.26,1.63
Afghanistan,1.6,1.55,1.02,0.38,2.12
Egypt,1.49,1.09,1.04,0.02,2.38
Ecuador,6.93,3.24,1.06,0.63,3.0
Thailand,2.78,1.23,1.06,0.34,10.32
Monaco,1.21,0.98,1.08,0.84,2.37
Tunisia,3.67,1.37,1.09,0.33,3.63
Singapore,2.87,2.47,1.09,0.25,74.32
Djibouti,37.92,1.12,1.12,0.47,28.01
Zambia,2.25,1.36,1.13,0.01,6.8
Iraq,8.0,4.2,1.14,0.68,27.35
Peru,2.48,2.13,1.15,0.85,15.58
Austria,1.88,1.08,1.17,0.24,23.43
Romania,1.89,1.03,1.18,0.11,11.83
Iceland,3.78,1.46,1.23,0.16,17.29
Spain,0.56,1.81,1.24,0.57,57.98
Rwanda,3.79,1.48,1.25,0.35,23.1
Tonga,2.92,3.41,1.28,1.09,1.46
Niger,25.52,3.3,1.28,0.47,12.04
Serbia,4.83,1.6,1.3,0.17,14.09
Jersey,3.82,1.71,1.32,0.54,17.14
El Salvador,4.55,1.45,1.33,0.5,7.5
Lithuania,2.06,1.85,1.38,0.09,17.75
Estonia,3.67,1.27,1.39,0.35,18.93
Jordan,1.79,1.03,1.41,0.24,7.05
United Kingdom,6.66,1.39,1.42,0.11,71.29
Ireland,3.95,1.36,1.42,0.13,11.64
Sweden,3.66,2.07,1.45,0.2,75.08
Guernsey,3.05,1.24,1.46,0.16,54.84
Saudi Arabia,5.62,2.12,1.47,0.33,13.33
Uruguay,2.8,1.58,1.51,0.1,6.33
Dominican Republic,1.28,0.74,1.51,0.33,18.17
Iran,1.88,0.75,1.52,0.22,6.21
Uganda,5.02,1.62,1.56,0.45,22.71
Honduras,4.69,3.12,1.56,0.69,50.0
French Guiana,13.41,3.61,1.58,0.82,5.91
Angola,7.95,5.29,1.61,1.03,3.21
Palau,8.34,2.5,1.67,1.0,2.5
Timor-Leste,4.48,2.08,1.67,0.83,2.5
