Continent,Country,Population,Users,Speed
Americas,Canada,37064562,33950632,75.18
Asia,South Korea,51171706,49421084,117.95
Europe,Netherlands,17059560,15877494,108.33
Asia,Japan,127202192,117400000,44.05
Europe,Norway,5337962,5120225,134.73
Asia,Singapore,5757499,4821119,67.99
Oceania,Australia,24898152,21159515,76.52
Europe,Switzerland,8525611,7942864,82.29
Europe,Belgium,11482178,10021242,58.65
Europe,Croatia,4156405,2811056,86.48
Oceania,New Zealand,4743131,4273353,49.49
Europe,Austria,8891388,7681957,56.6
Europe,Denmark,5752126,5407278,105.65
Europe,Lithuania,2801264,2243448,50.13
Europe,Czech Republic,10665677,8358728,44.55
Asia,United Arab Emirates,9630959,8913217,135.35
Europe,Hungary,9707499,7461297,41.32
Asia,Qatar,2781682,2532059,120.69
Europe,North Macedonia,2082957,1589659,64.23
Europe,Finland,5522576,4831170,71.23
Europe,Sweden,9971638,9554907,73.61
Asia,Taiwan,23726460,21920626,53.93
Europe,Germany,83124418,77794405,55.7
Europe,France,64990511,59470000,60.94
Americas,United States,327096265,312320000,61.12
Europe,Portugal,10256193,7622142,64.3
Europe,Spain,46692858,42400756,34.26
Europe,Slovenia,2077837,1640893,54.57
Europe,Albania,2882740,2105339,40.48
Europe,Slovakia,5453014,4446926,33.44
Europe,Serbia,8802754,6182411,45.81
Asia,Oman,4829473,3717818,44.47
Europe,Italy,60627291,50540000,37.15
Asia,Lebanon,6859408,4755187,16.38
Europe,Greece,10522246,7923438,59.42
Europe,United Kingdom,67141684,65001016,48.1
Europe,Romania,19506114,12545558,36.9
Asia,Saudi Arabia,33702756,27048861,102.79
Europe,Poland,37921592,34697848,40.14
Asia,Vietnam,95545962,68172134,33.9
Americas,Uruguay,3449285,2360269,34.43
Europe,Turkey,82340088,69945905,30.48
Americas,Mexico,128972439,92010000,29.81
Asia,Maldives,515696,275717,47.93
Europe,Ireland,4818690,4024552,30.16
Africa,South Africa,57792518,31858027,33.62
Asia,Azerbaijan,9949537,7763795,30.4
Americas,Argentina,44361150,33561876,20.64
Africa,Morocco,36029093,22072765,27.84
Asia,Laos,7061507,1749517,23.41
Asia,Kuwait,4137312,4053797,96.23
Asia,Bahrain,1569446,1431090,53.08
Asia,Brunei,428963,406705,71.38
Asia,Iran,81800188,78086663,24.9
Africa,Tunisia,11565201,6400330,22.64
Americas,Brazil,209469323,160010801,22.3
Asia,Israel,8381516,6788737,28.01
Americas,Guatemala,17247849,11750000,17.3
Europe,Russia,145734038,124000000,20.46
Europe,Ukraine,44246156,31100000,15.62
Americas,Costa Rica,4999441,3511549,17.46
Americas,Chile,18729160,14864456,22.49
Americas,Bolivia,11353142,4843916,14.1
Americas,Honduras,9587522,2977793,20.73
Americas,Colombia,49661048,30548252,12.35
Americas,Ecuador,17084358,9521056,17.7
Asia,Jordan,9965318,6480202,19.47
Americas,Peru,31989260,15674241,15.64
Asia,Afghanistan,37171921,4068194,5.5
Asia,Kazakhstan,18319618,13913699,18.71
Americas,Dominican Republic,10627141,6997472,20.7
Asia,Malaysia,31528033,25343685,25.87
Africa,Kenya,51392565,8861485,16.93
Europe,Belarus,9452617,7048231,9.99
Americas,Paraguay,6956066,4160340,15.15
Africa,Egypt,98423598,54740141,19.73
Asia,Kyrgyzstan,6304030,2309235,16.3
Asia,Sri Lanka,21228763,7121116,13.15
Asia,Indonesia,267670543,196000000,17.7
Asia,Thailand,69428453,54043108,33.49
Africa,Senegal,15854323,4698108,21.44
Asia,Philippines,106651394,73003313,19.48
Americas,Panama,4176869,2371852,17.03
Asia,Pakistan,213756286,118800000,16.73
Asia,India,1352642280,833710000,13.67
Asia,Cambodia,16249792,5441827,16.12
Asia,Nepal,28095714,16190000,16.45
Africa,Cameroon,25216267,5580465,11.88
Africa,Nigeria,195874685,136203231,18.92
Asia,Bangladesh,166303498,129180000,10.43
Africa,Ghana,29767102,15065541,8.44
Africa,Somalia,15008226,294851,7.95
Asia,Uzbekistan,32476244,16692456,13.27
Africa,Algeria,42228408,26350000,12.44
Americas,El Salvador,6420746,1993079,21.03
Africa,Tanzania,56313438,30000000,10.39
Asia,Iraq,38433600,18892351,39.9
Europe,Bulgaria,7051608,4492326,87.51
Asia,China,1427647786,1010740000,83.43
Europe,Luxembourg,604245,570794,82.85
Asia,Cyprus,1189265,952369,75.48
Europe,Montenegro,627809,505055,41.93
Europe,Estonia,1322920,1153786,55.07
Europe,Malta,439248,344970,49.66
Europe,Latvia,1928459,1585471,41.6
Americas,Suriname,575990,275785,40.7
Africa,Togo,7889093,963795,34.42
Americas,Jamaica,2934847,1409888,30.84
Asia,Georgia,4002942,3446533,30.67
Europe,Moldova,4051944,3083783,29.46
Europe,Bosnia and Herzegovina,3323925,2320000,28.49
Americas,Trinidad and Tobago,1389843,1058744,28.37
Americas,Bahamas,385637,336057,26.77
Oceania,Fiji,883483,452479,25.99
Africa,Botswana,2254068,948977,24.14
Asia,Myanmar,53708320,16374103,24.06
Africa,Angola,30809787,4271053,22.59
Asia,Armenia,2951745,2043110,22.01
Africa,Ethiopia,109224414,19543075,21.08
Africa,Namibia,2448301,933450,18.43
Americas,Nicaragua,6465501,1732218,18.3
Africa,Mauritius,1267185,702911,18.09
Africa,Malawi,18143217,2566126,17.95
Asia,Yemen,28498683,7548512,16.89
Asia,Mongolia,3170216,729236,16.69
Asia,Lebanon,6859408,4755187,16.38
Africa,Uganda,42729036,10162807,15.99
Africa,Mozambique,29496004,6162217,15.66
Africa,Zimbabwe,14438802,4472992,13.99
Asia,Syria,16945057,6257430,13.24
Americas,Haiti,11123178,1353986,12.49
Africa,Libya,6678559,1387116,10.4
Africa,Zambia,17351708,4760715,10.36
Africa,Sudan,41801533,12512639,9.5
Americas,Cuba,11338134,5638956,9.1
Asia,Tajikistan,9100835,1959127,7.05
Americas,Venezuela,28887118,20564451,5.68
